name|category|url|notes|tracking
Barbell Back Squat|Legs|https://www.muscleandstrength.com/exercises/squat.html|The king of all leg exercises. Targets the quads, hamstrings, and glutes while building immense core stability.|
Barbell Bench Press|Chest|https://www.muscleandstrength.com/exercises/barbell-bench-press.html|The primary upper body mass builder. Focuses on pectorals, anterior deltoids, and triceps with heavy load potential.|
Conventional Deadlift|Back|https://www.muscleandstrength.com/exercises/conventional-deadlift.html|A total body power movement that primarily hits the posterior chain (back, glutes, hamstrings) and grip strength.|
Standing Military Press|Other|https://www.muscleandstrength.com/exercises/military-press.html|The gold standard for shoulder strength. Targets all deltoid heads and relies heavily on core stabilization.|
One Arm Dumbbell Row|Back|https://www.muscleandstrength.com/exercises/one-arm-dumbbell-row.html|Unilateral back builder that allows for a deep stretch and heavy loading to thicken the lats and rhomboids.|
Wide Grip Lat Pulldown|Back|https://www.muscleandstrength.com/exercises/wide-grip-lat-pulldown.html|Essential machine movement for building back width. Targets the latissimus dorsi with a vertical pulling motion.|
45 Degree Leg Press|Legs|https://www.muscleandstrength.com/exercises/45-degree-leg-press.html|Machine-based compound leg movement allowing you to overload the quads and hamstrings safely.|
Seated Cable Row|Back|https://www.muscleandstrength.com/exercises/seated-cable-row.html|Horizontal pulling movement that targets the mid-back thickness, lower traps, and rhomboids.|
Incline Dumbbell Bench Press|Chest|https://www.muscleandstrength.com/exercises/palms-in-incline-dumbbell-bench-press.html|Upper chest specialist. The incline angle recruits the clavicular head of the pecs more effectively.|
Dumbbell Lateral Raise|Other|https://www.muscleandstrength.com/exercises/dumbbell-lateral-raise.html|Isolation movement critical for capping the shoulders. Specifically targets the medial deltoid for width.|
Cable Tricep Pushdown|Arms|https://www.muscleandstrength.com/exercises/cable-tricep-pushdown.html|Isolation exercise for the triceps. Uses constant tension from the cable to define the back of the arm.|
Standing Barbell Curl|Arms|https://www.muscleandstrength.com/exercises/standing-barbell-curl.html|The classic mass builder for biceps. Allows for heavy loading to build peak and thickness in the arms.|
Dumbbell Walking Lunge|Legs|https://www.muscleandstrength.com/exercises/dumbbell-walking-lunge.html|Dynamic unilateral leg exercise. Excellent for glute development and balance.|
Romanian Deadlift|Legs|https://www.muscleandstrength.com/exercises/romanian-deadlift.html|Hip-hinge movement that isolates the hamstrings and glutes. Crucial for posterior chain health.|
Leg Extension|Legs|https://www.muscleandstrength.com/exercises/leg-extension.html|Isolation machine exercise that specifically targets the quadriceps. Great for finishing a leg workout.|
Lying Leg Curl|Legs|https://www.muscleandstrength.com/exercises/leg-curl.html|Direct hamstring isolation. Essential for knee health and balancing quad dominance.|
Standing Calf Raise|Legs|https://www.muscleandstrength.com/exercises/standing-machine-calf-raise.html|Isolation movement for the gastrocnemius. Constant tension is key for lower leg development.|
Cable Face Pull|Back|https://www.muscleandstrength.com/exercises/cable-face-pull-with-external-rotation|Rear delt and rotator cuff builder. Critical for shoulder health and posture correction.|
Plank|Core|https://www.muscleandstrength.com/exercises/plank-to-hip-raise|Isometric core hold. Builds endurance in the transversus abdominis and stabilizes the spine.|time-only
Hanging Leg Raise|Core|https://www.muscleandstrength.com/exercises/hanging-leg-raises.html|Advanced core movement targeting the lower abdominals and hip flexors through spinal flexion.|
Cable Woodchopper|Core|https://www.muscleandstrength.com/exercises/standing-cable-wood-chop.html|Rotational core exercise. Mimics functional athletic movements and targets the obliques.|
Power Clean|Other|https://www.muscleandstrength.com/exercises/power-clean.html|Explosive triple-extension movement. Builds athletic power, speed, and overall neural drive.|
Box Jump|Other|https://www.muscleandstrength.com/exercises/box-jump|Plyometric exercise for explosive leg power. Improves fast-twitch muscle fiber recruitment.|
Smith Machine Squat|Legs|https://www.muscleandstrength.com/exercises/smith-machine-squat.html|Fixed-path squat variation. Allows you to focus purely on driving the weight without stabilizing.|
Smith Machine Shrug|Back|https://www.youtube.com/watch?v=Xv6F_3_5P8U|Trapezius builder. The fixed path allows for extremely heavy loading for neck and back thickness.|
